id;message_main_attachment_id;currency_id;company_id;group_id;root_id;create_uid;write_uid;name;code;account_type;internal_group;note;deprecated;include_initial_balance;reconcile;is_off_balance;non_trade;create_date;write_date
133;;2;4;;49049;1;1;Stock provisional (recibido);110200;asset_current;asset;;false;true;true;false;false;07-07-2023;07-07-2023
134;;2;4;;49049;1;1;Stock provisional (entregado);110300;asset_current;asset;;false;true;true;false;false;07-07-2023;07-07-2023
135;;2;4;;49050;1;1;Cuentas por cobrar;121000;asset_receivable;asset;;false;true;true;false;false;07-07-2023;07-07-2023
136;;2;4;;49050;1;1;Productos a recibir;121100;asset_current;asset;;false;true;true;false;false;07-07-2023;07-07-2023
137;;2;4;;49051;1;1;Impuesto pagado;131000;asset_current;asset;;false;true;false;false;false;07-07-2023;07-07-2023
138;;2;4;;49051;1;1;Impuesto por cobrar;132000;asset_current;asset;;false;true;false;false;false;07-07-2023;07-07-2023
139;;2;4;;49052;1;1;Pagos anticipados;141000;asset_prepayments;asset;;false;true;false;false;false;07-07-2023;07-07-2023
140;;2;4;;49053;1;1;Activo fijo;151000;asset_fixed;asset;;false;true;false;false;false;07-07-2023;07-07-2023
141;;2;4;;49057;1;1;Activos no corrientes;191000;asset_non_current;asset;;false;true;false;false;false;07-07-2023;07-07-2023
142;;2;4;;50048;1;1;Pasivo circulante;201000;liability_current;liability;;false;true;false;false;false;07-07-2023;07-07-2023
143;;2;4;;50049;1;1;Cuenta por pagar;211000;liability_payable;liability;;false;true;true;false;false;07-07-2023;07-07-2023
144;;2;4;;50049;1;1;facturas a recibir;211100;liability_current;liability;;false;true;true;false;false;07-07-2023;07-07-2023
145;;2;4;;50053;1;1;Impuesto Recibido;251000;liability_current;liability;;false;true;false;false;false;07-07-2023;07-07-2023
146;;2;4;;50053;1;1;Impuesto a pagar;252000;liability_current;liability;;false;true;false;false;false;07-07-2023;07-07-2023
147;;2;4;;50057;1;1;Pasivos no corrientes;291000;liability_non_current;liability;;false;true;false;false;false;07-07-2023;07-07-2023
148;;2;4;;51048;1;1;Capital;301000;equity;equity;;false;true;false;false;false;07-07-2023;07-07-2023
149;;2;4;;51048;1;1;Dividendos;302000;equity;equity;;false;true;false;false;false;07-07-2023;07-07-2023
150;;2;4;;52048;1;1;Venta de productos;400000;income;income;;false;false;false;false;false;07-07-2023;07-07-2023
151;;2;4;;52052;1;1;Ganancia cambiaria;441000;income;income;;false;false;false;false;false;07-07-2023;07-07-2023
152;;2;4;;52052;1;1;Ganancia por diferencia en efectivo;442000;income;income;;false;false;false;false;false;07-07-2023;07-07-2023
153;;2;4;;52053;1;1;Otros Ingresos;450000;income_other;income;;false;false;false;false;false;07-07-2023;07-07-2023
154;;2;4;;53048;1;1;Costo de los bienes vendidos;500000;expense_direct_cost;expense;;false;false;false;false;false;07-07-2023;07-07-2023
155;;2;4;;54048;1;1;Gastos;600000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
156;;2;4;;54049;1;1;Compra de Equipos;611000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
157;;2;4;;54049;1;1;Alquiler;612000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
158;;2;4;;54050;1;1;Comisiones bancarias;620000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
159;;2;4;;54051;1;1;Gastos Salariales;630000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
160;;2;4;;54052;1;1;Pérdida cambiaria;641000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
161;;2;4;;54052;1;1;Pérdida de diferencia de efectivo;642000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
162;;2;4;;57054;1;1;Gastos de RD;961000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
163;;2;4;;57054;1;1;Gastos de venta;962000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
164;;2;4;;49048;1;1;Cuenta por cobrar (PoS);101300;asset_receivable;asset;;false;true;true;false;false;07-07-2023;07-07-2023
165;;2;4;;54052;1;1;Pérdida de descuento en efectivo;643000;expense;expense;;false;false;false;false;false;07-07-2023;07-07-2023
166;;2;4;;52052;1;1;Ganancia de descuento en efectivo;443000;income;income;;false;false;false;false;false;07-07-2023;07-07-2023
1;;2;1;;49048;1;1;Transferencia de liquidez;101701;asset_current;asset;;false;true;true;false;false;08-07-2023;08-07-2023
19;;2;1;;51048;1;1;Capital;301000;equity;equity;;false;true;false;false;false;08-07-2023;08-07-2023
